CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
36,500,0.2,39.5,3.2,2.890952381,44744704,1.765714286,164872777.1,26.95238095,23.16190476,30.38095238,829151134.5,8126898176
39,500,0.2,39.5,3.3,2.884761905,44744704,1.867142857,164966205,29,29.87619048,28.01904762,829214915,8126898176
42,500,0.2,39.5,3.1,2.805,44744704,1.942,165001011.2,30.95,29.4,32.4,829207552,8126898176
45,500,0.2,39.5,3.2,2.644761905,44744704,1.833333333,164992341.3,30.9047619,30.80952381,31.0952381,829045613.7,8126898176
48,500,0.2,39.5,3.2,2.648571429,44744704,1.878571429,164955282.3,32.38095238,29.33333333,35.57142857,828959402.7,8126898176
51,500,0.2,39.5,3.1,2.584285714,44744704,1.815238095,164762575.2,33.71428571,39.57142857,27.46666667,828736268.2,8126898176
54,500,0.2,39.5,3.3,2.8555,44744704,1.938,164816691.2,36.85,40.15,33.5,828906905.6,8126898176
57,500,0.2,39.5,3.6,3.160952381,44744704,1.985238095,164653153.5,37.33333333,31.85714286,42.76190476,828947504.8,8126898176
0,1000,0.1,77.9,2.5,5.045,44744704,2.745,164532428.8,14.795,16.04,13.3,828913254.4,8126898176
3,1000,0.1,77.9,2.5,4.435,44744704,2.7845,164630732.8,15.9,16.55,15.4,828813926.4,8126898176
6,1000,0.1,77.9,2.8,5.325,44744704,2.91,164731904,18.4,18.95,17.75,828875571.2,8126898176
9,1000,0.1,77.9,2.7,4.652380952,44744704,2.928571429,164889161.1,18.91904762,20.28571429,17.6952381,828554093.7,8126898176
12,1000,0.1,77.9,2.7,4.73,44744704,2.98,164722483.2,20.55,21.25,20,828542566.4,8126898176
15,1000,0.1,77.9,2.7,4.495238095,44744704,2.870952381,164566162.3,21.57142857,21.33333333,21.95238095,828557409.5,8126898176
18,1000,0.1,77.9,2.7,4.420952381,44744704,2.857142857,164788516.6,22.90952381,23.05714286,22.57142857,828635818.7,8126898176
21,1000,0.1,77.9,3,5.098571429,44744704,3.033333333,164890526.5,24.9047619,24.71428571,25.38095238,828600905.1,8126898176
24,1000,0.1,77.9,3,5.165,44744704,3.12,164856422.4,27.2,26.6,28.1,828549939.2,8126898176
27,1000,0.1,77.9,2.8,4.543333333,44744704,2.911904762,164873167.2,27,25.16190476,28.95238095,828570477.7,8126898176
30,1000,0.1,77.9,2.8,4.685,44744704,2.98,164539392,29.3,28.65,30.05,828828262.4,8126898176
33,1000,0.1,77.9,2.9,4.64047619,44744704,2.953809524,164462397,29.85714286,30.95238095,28.95238095,828581010.3,8126898176
36,1000,0.1,77.9,3.1,5.28,44744704,3.075,164452761.6,33.05,31.95,34.35,828729753.6,8126898176
39,1000,0.1,77.9,2.9,4.591428571,44744704,2.942857143,164623311.2,32.66666667,32.85714286,32.23809524,828967204.6,8126898176
42,1000,0.1,77.9,2.8,4.645,44744704,3.04,164672921.6,35.25,34.05,36.45,828713574.4,8126898176
45,1000,0.1,77.9,2.9,4.540952381,44744704,3.01,164522081.5,35.33333333,36.04761905,34.71428571,828748361.1,8126898176
48,1000,0.1,77.9,3.1,5.228571429,44744704,3.123809524,164383402.7,37.42857143,36.80952381,38.28571429,828620605,8126898176
51,1000,0.1,77.9,3,4.728095238,44744704,3.035238095,164587227.4,38.42857143,38.85714286,38.14285714,828637379,8126898176
54,1000,0.1,77.9,3,5.026190476,44744704,2.99952381,164685921.5,40.19047619,37.95238095,42.57142857,828567747,8126898176
57,1000,0.1,77.9,3,4.658047619,44744704,3.068571429,164646521.9,41.14285714,39.66666667,42.47619048,828579059.8,8126898176
60,1000,0.1,77.9,3.4,5.547619048,44744704,3.138095238,164678119.6,43.47619048,40.38095238,46.23809524,828685945.9,8126898176
