Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.16,44744704,44744704,0.4,82956288,82956288,0,42795008,6.7,9.8,3.6,828952576,828952576,828952576,8126898176,8126898176,8126898176
1.9,44744704,44744704,1.3,82890752,82890752,3.1,48074752,17,19,14,828952576,828952576,828952576,8126898176,8126898176,8126898176
5.7,44744704,44744704,2.7,83079168,83079168,5.5,48074752,21,25,17,828952576,828952576,828952576,8126898176,8126898176,8126898176
8.4,44744704,44744704,3.4,83046400,83046400,7.6,48074752,23,22,23,828952576,828952576,828952576,8126898176,8126898176,8126898176
8.7,44744704,44744704,3.5,83017728,83017728,8.2,48074752,23,20,26,828952576,828952576,828952576,8126898176,8126898176,8126898176
8.4,44744704,44744704,3.8,83140608,83140608,6.3,48074752,25,23,27,828948480,828948480,828948480,8126898176,8126898176,8126898176
8.4,44744704,44744704,4.3,83206144,83206144,6.4,48074752,23,23,23,828690432,828690432,828690432,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.8,83419136,83419136,6.2,48074752,22,27,18,828948480,828948480,828948480,8126898176,8126898176,8126898176
5.6,44744704,44744704,3.4,83013632,83013632,4.9,48074752,18,18,18,828948480,828948480,828948480,8126898176,8126898176,8126898176
6.3,44744704,44744704,3.6,83193856,83193856,3.1,48074752,20,20,19,828948480,828948480,828948480,8126898176,8126898176,8126898176
6.1,44744704,44744704,3.4,83345408,83345408,4.9,48074752,22,22,22,828948480,828948480,828948480,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.4,83537920,83537920,6.7,48074752,21,23,20,828948480,828948480,828948480,8126898176,8126898176,8126898176
6.7,44744704,44744704,3.5,83918848,83918848,6,48074752,20,20,20,828948480,828948480,828948480,8126898176,8126898176,8126898176
6.1,44744704,44744704,3.7,83755008,83755008,6.1,48074752,22,24,21,828964864,828964864,828964864,8126898176,8126898176,8126898176
5.8,44744704,44744704,3.6,83755008,83755008,6.1,48074752,20,22,18,828964864,828964864,828964864,8126898176,8126898176,8126898176
5.8,44744704,44744704,3.2,83849216,83849216,6,48074752,22,21,22,828964864,828964864,828964864,8126898176,8126898176,8126898176
6.7,44744704,44744704,4.4,83804160,83804160,5.8,48074752,24,22,25,828964864,828964864,828964864,8126898176,8126898176,8126898176
7.9,44744704,44744704,4.5,84066304,84066304,5.5,48074752,24,23,25,828964864,828964864,828964864,8126898176,8126898176,8126898176
6.9,44744704,44744704,4.4,84049920,84049920,5.9,48074752,24,25,23,828964864,828964864,828964864,8126898176,8126898176,8126898176
6.6,44744704,44744704,4.4,84381696,84381696,5.7,48074752,20,24,17,828964864,828964864,828964864,8126898176,8126898176,8126898176
4.4,44744704,44744704,2.1,84271104,84271104,4.5,42373120,7.9,10,5.4,829222912,829222912,829222912,8126898176,8126898176,8126898176
0.45,44744704,44744704,0.42,84271104,84271104,2,42373120,3.9,3.8,4,828964864,828964864,828964864,8126898176,8126898176,8126898176
0.0061,44744704,44744704,0.21,84344832,84344832,0,42373120,2.7,2.6,2.8,829222912,829222912,829222912,8126898176,8126898176,8126898176
0.0055,44744704,44744704,0.22,84344832,84344832,0,42373120,4.1,4.6,3.6,829222912,829222912,829222912,8126898176,8126898176,8126898176
0.0071,44744704,44744704,0.31,84381696,84381696,0,42373120,3.7,4.2,3.2,829190144,829190144,829190144,8126898176,8126898176,8126898176
0.0072,44744704,44744704,0.3,84381696,84381696,0,42373120,3.5,4.2,2.8,828932096,828932096,828932096,8126898176,8126898176,8126898176
0.19,44744704,44744704,0.49,84516864,84516864,3.1,48287744,8.2,11,5.6,829190144,829190144,829190144,8126898176,8126898176,8126898176
2.9,44744704,44744704,1.5,84582400,84582400,7.7,48287744,19,16,21,828932096,828932096,828932096,8126898176,8126898176,8126898176
5.3,44744704,44744704,2.9,84586496,84586496,4.6,48287744,20,18,23,828928000,828928000,828928000,8126898176,8126898176,8126898176
5.8,44744704,44744704,3.8,84422656,84422656,9.2,48287744,25,29,20,828928000,828928000,828928000,8126898176,8126898176,8126898176
7.2,44744704,44744704,4.2,84557824,84557824,12,48287744,23,27,19,828928000,828928000,828928000,8126898176,8126898176,8126898176
7.2,44744704,44744704,4,84889600,84889600,9.3,48291840,26,27,25,829186048,829186048,829186048,8126898176,8126898176,8126898176
6.5,44744704,44744704,3.3,84918272,84918272,9.3,48291840,21,19,22,829186048,829186048,829186048,8126898176,8126898176,8126898176
6.1,44744704,44744704,3,84992000,84992000,6.1,48291840,21,21,20,828928000,828928000,828928000,8126898176,8126898176,8126898176
6,44744704,44744704,3.4,84963328,84963328,9.1,48291840,23,23,22,829444096,829444096,829444096,8126898176,8126898176,8126898176
6,44744704,44744704,3.8,85532672,85532672,9.1,48291840,21,23,19,828928000,828928000,828928000,8126898176,8126898176,8126898176
6.1,44744704,44744704,3.5,85741568,85741568,6.1,48291840,24,23,25,829186048,829186048,829186048,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.5,85729280,85729280,8.4,48291840,21,24,18,829186048,829186048,829186048,8126898176,8126898176,8126898176
6.3,44744704,44744704,3.5,85741568,85741568,9.2,48291840,22,22,22,829186048,829186048,829186048,8126898176,8126898176,8126898176
5.3,44744704,44744704,3.4,85835776,85835776,8.4,48291840,22,23,21,829186048,829186048,829186048,8126898176,8126898176,8126898176
5.5,44744704,44744704,3.8,85958656,85958656,8.1,48291840,24,28,21,829444096,829444096,829444096,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.8,85917696,85917696,9.6,48291840,21,23,20,828665856,828665856,828665856,8126898176,8126898176,8126898176
6.4,44744704,44744704,4.3,86265856,86265856,9.2,48291840,25,29,22,829181952,829181952,829181952,8126898176,8126898176,8126898176
7.6,44744704,44744704,4.5,86237184,86237184,9.7,48291840,28,27,28,828923904,828923904,828923904,8126898176,8126898176,8126898176
7.6,44744704,44744704,4.2,86507520,86507520,9.7,48291840,23,25,21,828956672,828956672,828956672,8126898176,8126898176,8126898176
4.6,44744704,44744704,3.4,86433792,86433792,6.3,48291840,18,15,22,829214720,829214720,829214720,8126898176,8126898176,8126898176
2,44744704,44744704,1.4,86458368,86458368,7.3,42610688,7,5.6,8.4,828956672,828956672,828956672,8126898176,8126898176,8126898176
0.44,44744704,44744704,0.38,86458368,86458368,4.2,42610688,3.9,3.8,4,828956672,828956672,828956672,8126898176,8126898176,8126898176
0.0066,44744704,44744704,0.31,86675456,86675456,0,42610688,4.1,4.4,3.8,828956672,828956672,828956672,8126898176,8126898176,8126898176
