Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
2.9,44711936,44711936,1.7,80060416,80060416,3,51396608,10,10,9.8,828989440,828989440,828989440,8126898176,8126898176,8126898176
1.8,44711936,44711936,1.4,80072704,80072704,2.9,51396608,8.5,6.4,11,828731392,828731392,828731392,8126898176,8126898176,8126898176
0.59,44711936,44711936,0.65,79953920,79953920,2.9,45694976,5.3,4.2,6.4,829763584,829763584,829763584,8126898176,8126898176,8126898176
0.2,44711936,44711936,0.31,80064512,80064512,2.6,45694976,3.3,3.6,3,829247488,829247488,829247488,8126898176,8126898176,8126898176
0.0068,44711936,44711936,0.2,79953920,79953920,0,45694976,3.6,3.6,3.6,829763584,829763584,829763584,8126898176,8126898176,8126898176
0.0091,44711936,44711936,0.18,79953920,79953920,0,45694976,2.7,2.8,2.6,828731392,828731392,828731392,8126898176,8126898176,8126898176
0.0067,44711936,44711936,0.23,79958016,79958016,0,45694976,4.1,4.6,3.6,829247488,829247488,829247488,8126898176,8126898176,8126898176
0.0039,44711936,44711936,0.26,80068608,80068608,0,45694976,2.8,2.8,2.8,828985344,828985344,828985344,8126898176,8126898176,8126898176
0.39,44711936,44711936,0.58,79974400,79974400,3,51609600,9.5,6.2,13,828985344,828985344,828985344,8126898176,8126898176,8126898176
2.1,44711936,44711936,1.4,80134144,80134144,5.4,51609600,13,11,15,828985344,828985344,828985344,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.6,80289792,80289792,7.4,51609600,15,16,14,828985344,828985344,828985344,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.6,80314368,80314368,7.8,51609600,12,15,9.6,829243392,829243392,829243392,8126898176,8126898176,8126898176
3.1,44711936,44711936,2,80101376,80101376,2.8,51609600,14,16,12,828985344,828985344,828985344,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.9,80338944,80338944,3,51609600,13,13,12,829759488,829759488,829759488,8126898176,8126898176,8126898176
2.3,44711936,44711936,1.7,80375808,80375808,5.9,51609600,13,17,10,829243392,829243392,829243392,8126898176,8126898176,8126898176
2.3,44711936,44711936,1.7,80510976,80510976,8.8,51613696,12,12,12,828985344,828985344,828985344,8126898176,8126898176,8126898176
3.4,44711936,44711936,1.6,80572416,80572416,8.8,51613696,14,18,10,828985344,828985344,828985344,8126898176,8126898176,8126898176
3.4,44711936,44711936,1.9,80556032,80556032,3,51613696,13,16,11,829243392,829243392,829243392,8126898176,8126898176,8126898176
3,44711936,44711936,1.9,80461824,80461824,5.8,51613696,13,15,11,829243392,829243392,829243392,8126898176,8126898176,8126898176
3,44711936,44711936,1.8,80470016,80470016,8.7,51613696,13,17,9.8,829243392,829243392,829243392,8126898176,8126898176,8126898176
2.7,44711936,44711936,1.8,80486400,80486400,5.8,51613696,13,18,9.2,829239296,829239296,829239296,8126898176,8126898176,8126898176
