NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
5333,0.01875,400,2.2,33.17272727,12.15,27.32727273,26.5,27.92727273,9.822727273,10.17272727,9.518181818,284752616.7,64395264,730397975.3,8346394624,730397975.3,8126898176
4000,0.025,301.3,1.9,24.49090909,9.182272727,21.19090909,20.54545455,21.79090909,8.295454545,8.254545455,8.309090909,286895383.3,62466978.91,728574510.5,8346394624,728574510.5,8126898176
5333,0.01875,400,2.1,32.77727273,12.03363636,27.1,26.40909091,27.88181818,9.886363636,9.890909091,9.990909091,289207761.5,64077824,729674658.9,8346394624,729674658.9,8126898176
4000,0.025,301.3,1.9,25.42857143,9.728571429,22,21.61904762,22.38095238,8.752380952,9.00952381,8.485714286,292219562.7,60298386.29,726241280,8346394624,726241280,8126898176
5333,0.01875,400,2.1,32.89545455,11.76363636,27.17272727,26.30909091,28.08181818,9.731818182,9.845454545,9.609090909,295566056.7,64604904.73,730883723.6,8346394624,730883723.6,8126898176
4000,0.025,301.3,2,25.20454545,9.335909091,21.7,22.03636364,21.31818182,8.436363636,8.509090909,8.3,298599144.7,61182882.91,727545297.5,8346394624,727545297.5,8126898176
5333,0.01875,400,2.2,33.75454545,11.86,27.66363636,26.44545455,28.60909091,9.968181818,10.10909091,9.727272727,301171060.4,63989201.45,730091520,8346394624,730091520,8126898176
4000,0.025,301.3,2,25.37619048,9.676190476,21.95238095,21.33333333,22.52380952,8.847619048,9.247619048,8.419047619,303441822.5,60532053.33,727098124.2,8346394624,727098124.2,8126898176
5333,0.01875,400,2.1,33.11818182,11.76954545,27.39090909,26.47272727,28.12727273,9.922727273,10.00909091,9.654545455,304931374.5,64509952,731488069.8,8346394624,731488069.8,8126898176
4000,0.025,301.3,1.9,24.32727273,9.257727273,21.00454545,20.23636364,21.86363636,8.513636364,8.445454545,8.545454545,310978746.2,60638673.45,727548090.2,8346394624,727548090.2,8126898176
5333,0.01875,400,2.1,34.47619048,12.43333333,28.33333333,27.33333333,29.42857143,10.25714286,10.4952381,10.07619048,313752039.6,63059090.29,729408853.3,8346394624,729408853.3,8126898176
4000,0.025,301.3,2,24.99090909,9.340909091,21.4,21.06363636,21.78181818,8.331818182,8.381818182,8.272727273,315199674.2,60870842.18,727175540.4,8346394624,727175540.4,8126898176
5333,0.01875,400,2.2,33.14545455,11.89772727,27.42272727,26.86363636,27.89090909,10.03636364,10.09090909,9.936363636,317217140.4,64505483.64,730781882.2,8346394624,730781882.2,8126898176
4000,0.025,301.3,2,24.73636364,9.274545455,21.36818182,21.09090909,21.46363636,8.513636364,8.636363636,8.381818182,319366981.8,61839173.82,728731461.8,8346394624,728731461.8,8126898176
5333,0.01875,400,2.1,33.28636364,12.10909091,27.29090909,26.7,28.10909091,9.895454545,10.29090909,9.545454545,319389882.2,64288954.18,730936226.9,8346394624,730936226.9,8126898176
