NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
2000,0.05,154.3,1.9,13.62857143,5.183809524,13.10952381,12.8952381,13.22857143,5.852380952,5.685714286,6.019047619,158206829.7,47638430.48,718744234.7,8346394624,718744234.7,8126898176
1333,0.075,108.2,1.8,9.485,3.958,9.905,10.12,9.74,5.23,5.45,5.01,158312038.4,46257152,716760678.4,8346394624,716760678.4,8126898176
2000,0.05,154.3,1.9,13.865,5.38,13.315,13.08,13.59,5.98,5.95,6.01,158371430.4,48016179.2,718385356.8,8346394624,718385356.8,8126898176
1333,0.075,108.2,1.8,9.768421053,3.942105263,10.26842105,9.978947368,10.58947368,5.015789474,4.947368421,5.084210526,158533955.4,45679238.74,716346206.3,8346394624,716346206.3,8126898176
2000,0.05,154.3,1.9,13.63333333,5.055714286,12.95714286,13.07619048,12.93333333,5.761904762,5.657142857,5.866666667,159127844.6,48026965.33,718578249.1,8346394624,718578249.1,8126898176
1333,0.075,108.2,1.8,9.515,3.95,10.155,10.13,9.98,5.025,5.07,4.98,160067379.2,46787993.6,717639065.6,8346394624,717639065.6,8126898176
2000,0.05,154.3,1.8,13.14761905,5.223809524,12.97619048,12.57142857,13.1047619,5.747619048,5.638095238,5.857142857,161333053,48505027.05,718893251,8346394624,718893251,8126898176
1333,0.075,108.2,1.9,9.685,3.975,10.12,10.05,10.39,5.075,4.98,5.17,163076915.2,47181209.6,717956096,8346394624,717956096,8126898176
2000,0.05,154.3,1.9,13.44761905,5.285714286,12.99047619,12.87619048,13.34285714,5.938095238,5.895238095,5.980952381,166981632,48877958.1,719502774.9,8346394624,719502774.9,8126898176
1333,0.075,108.2,1.8,10.09473684,3.948947368,10.50526316,10.01052632,10.94736842,5.052631579,4.905263158,5.2,169354078.3,47551757.47,718588227.4,8346394624,718588227.4,8126898176
