Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
14,47927296,5.4,93958144,14,13,15,718172160,8346394624,5.5,5,6,752312320,8126898176
14,48287744,5.1,94003200,13,15,11,718557184,8346394624,5.9,6.2,5.6,753491968,8126898176
9.2,48570368,4.5,94208000,11,11,12,718606336,8346394624,5.3,5,5.6,752664576,8126898176
2.9,48447488,3.3,94437376,4.9,4.4,5.4,718569472,8346394624,2.9,2.8,3,752787456,8126898176
0.24,48447488,1.4,94302208,3.2,3.2,3.2,718569472,8346394624,2.3,2.6,2,752783360,8126898176
0.0098,48447488,0.25,94203904,2.4,2.6,2.2,718569472,8346394624,1.9,2.2,1.6,753041408,8126898176
0.011,48447488,0.25,94302208,2.6,2.4,2.8,718839808,8346394624,2.2,2,2.4,752783360,8126898176
0.012,48447488,0.24,94203904,2.8,2.8,2.8,718839808,8346394624,1.8,1.6,2,752783360,8126898176
0.011,48447488,0.25,94302208,2.6,2.2,3,718839808,8346394624,2.4,2.4,2.4,752783360,8126898176
2,48705536,0.34,94334976,3.2,3.2,3.2,718843904,8346394624,2.6,2.6,2.6,752775168,8126898176
6.9,50098176,1.2,94437376,7.5,8.4,6.6,719761408,8346394624,4.4,4.4,4.4,752693248,8126898176
10,49995776,2.8,94511104,10,11,9.2,720654336,8346394624,4.7,4.2,5.2,752885760,8126898176
12,50159616,3.9,94404608,12,11,12,720748544,8346394624,5,4.8,5.2,752828416,8126898176
14,41971712,4,94515200,12,12,11,720773120,8346394624,4.8,5,4.6,753004544,8126898176
13,42463232,3.8,94789632,13,12,14,712826880,8346394624,5.8,5.6,6,753451008,8126898176
11,42471424,4.8,94793728,11,12,9.6,713175040,8346394624,5.1,5.2,5,753213440,8126898176
11,42471424,4.6,94863360,11,12,10,713236480,8346394624,5,4.6,5.4,753139712,8126898176
9.4,42803200,3.4,94932992,9.7,9.6,9.8,713080832,8346394624,4.7,4.8,4.6,753602560,8126898176
9.4,42926080,3.2,95039488,11,12,10,713408512,8346394624,4.9,4.8,5,753549312,8126898176
12,43360256,3.5,95064064,11,12,9.8,713474048,8346394624,4.8,5,4.6,754053120,8126898176
12,43528192,4.2,95350784,11,11,11,714080256,8346394624,5,5.4,4.6,753750016,8126898176
11,43786240,4,95449088,10,10,11,714145792,8346394624,4.5,4.4,4.6,753664000,8126898176
9.2,43941888,3.8,95346688,11,12,9.8,714448896,8346394624,5.1,5.2,5,753860608,8126898176
9.2,44175360,4.4,95465472,9.6,9,10,714543104,8346394624,5,4.4,5.6,753831936,8126898176
12,44658688,4.4,95612928,12,12,12,714629120,8346394624,5.3,5.8,4.8,753721344,8126898176
13,45223936,3.6,95608832,12,12,12,715173888,8346394624,5.1,6,4.2,755204096,8126898176
13,46010368,4.7,95821824,13,13,12,715702272,8346394624,6,5.6,6.4,754356224,8126898176
12,46178304,5.3,96190464,11,12,10,716779520,8346394624,5.5,5.4,5.6,754569216,8126898176
5.8,46178304,4.1,96342016,9.2,9.6,8.8,716566528,8346394624,4.1,3.8,4.4,754782208,8126898176
1.3,46178304,2.3,96190464,3.3,3.4,3.2,716808192,8346394624,2,1.8,2.2,755552256,8126898176
0.012,46178304,0.59,96276480,3,2.8,3.2,717824000,8346394624,2.3,2.4,2.2,754778112,8126898176
0.011,46178304,0.24,96206848,2.7,2.6,2.8,716533760,8346394624,1.9,1.6,2.2,754778112,8126898176
0.011,46178304,0.26,96292864,2.8,2.8,2.8,716767232,8346394624,2.1,2.2,2,754520064,8126898176
0.013,46178304,0.27,96206848,2.6,2.6,2.6,716775424,8346394624,2,2,2,754778112,8126898176
0.76,45928448,0.28,96292864,3,2.4,3.6,716800000,8346394624,2.3,2.4,2.2,755036160,8126898176
5,46624768,0.58,96337920,5.1,4.6,5.6,716214272,8346394624,3.4,3.2,3.6,754753536,8126898176
14,45711360,1.8,96305152,12,12,12,717266944,8346394624,5.8,5.6,6,754671616,8126898176
17,45056000,4.4,96432128,14,14,15,716173312,8346394624,5.8,5.6,6,754827264,8126898176
16,45027328,6.2,96473088,16,16,16,715608064,8346394624,6.5,6.4,6.6,754700288,8126898176
16,45027328,5.9,96485376,14,15,13,715837440,8346394624,6.5,6,7,755003392,8126898176
16,45031424,5.4,96755712,14,15,12,715595776,8346394624,6,5.4,6.6,755171328,8126898176
15,45043712,5.7,96661504,14,15,12,715644928,8346394624,5.8,5.8,5.8,755572736,8126898176
14,45211648,5.5,96956416,15,16,13,715632640,8346394624,6,5.8,6.2,755224576,8126898176
15,45309952,5.1,96964608,14,14,14,715878400,8346394624,5.5,5.4,5.6,756666368,8126898176
14,45871104,5.3,97169408,14,15,13,716111872,8346394624,6.2,5.8,6.6,755781632,8126898176
17,46694400,5.4,97411072,15,15,14,716615680,8346394624,5.8,5.8,5.8,755675136,8126898176
18,47640576,5.6,97415168,17,17,16,717295616,8346394624,6.9,6.4,7.4,755814400,8126898176
16,47599616,5.9,97738752,15,17,14,718020608,8346394624,6.3,6,6.6,755957760,8126898176
13,47599616,6.2,97853440,13,14,12,718041088,8346394624,5.7,5.2,6.2,757465088,8126898176
10,47775744,4.9,97914880,11,11,12,718061568,8346394624,5.1,5,5.2,756350976,8126898176
13,47919104,4.4,98226176,13,14,12,719106048,8346394624,6.3,6.2,6.4,756486144,8126898176
14,48140288,5.5,98574336,12,12,12,718364672,8346394624,6.2,6,6.4,757059584,8126898176
13,48500736,5.1,98476032,14,14,13,718675968,8346394624,6.5,6.2,6.8,757805056,8126898176
14,48521216,5.4,98676736,13,13,14,719196160,8346394624,6,5.8,6.2,757161984,8126898176
11,48603136,5,98693120,13,13,13,719204352,8346394624,5.5,5.8,5.2,757350400,8126898176
5.2,48603136,3.9,98807808,7.5,7.2,7.8,719020032,8346394624,3.4,3.2,3.6,757055488,8126898176
0.93,48603136,2.4,98603008,3.2,3.4,3,718979072,8346394624,2.5,2.8,2.2,757829632,8126898176
0.012,48603136,0.52,98603008,2.5,2.6,2.4,718979072,8346394624,1.9,1.8,2,757055488,8126898176
0.012,48603136,0.27,98705408,3.1,3.8,2.4,719212544,8346394624,2.3,2.4,2.2,757055488,8126898176
0.012,48603136,0.24,98603008,2.4,2.4,2.4,720244736,8346394624,2,2.2,1.8,757911552,8126898176
0.011,48603136,0.25,98603008,3.1,3,3.2,719228928,8346394624,2.2,2.4,2,757055488,8126898176
0.89,48603136,0.24,98603008,2.3,2.6,2,719228928,8346394624,1.9,2,1.8,757313536,8126898176
