Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
6.1,41906176,1.7,85577728,18,19,17,819965952,8346394624,14,14,14,853270528,8126898176
5.8,41959424,2,85688320,13,14,12,818667520,8346394624,21,21,21,853032960,8126898176
5.7,41861120,2.3,85708800,16,15,18,818794496,8346394624,18,19,18,853966848,8126898176
6,41893888,2.1,85917696,17,16,17,819871744,8346394624,15,15,15,853028864,8126898176
5,42029056,2.1,85811200,15,12,17,819277824,8346394624,21,20,21,853889024,8126898176
2.5,41914368,1.7,85700608,13,12,15,820850688,8346394624,18,18,18,855805952,8126898176
0.74,41914368,1.1,85708800,7.9,6.2,9.6,819945472,8346394624,3.4,3.8,3,854994944,8126898176
0.013,41914368,0.58,85803008,4.1,4,4.2,820723712,8346394624,2.2,1.8,2.6,854994944,8126898176
0.0098,41914368,0.26,85708800,4.2,4.2,4.2,819691520,8346394624,2.9,2.6,3.2,854736896,8126898176
0.0096,41914368,0.26,85803008,3.7,4.2,3.2,819949568,8346394624,2.3,2,2.6,854478848,8126898176
0.0048,41914368,0.24,85708800,6.2,5.8,6.6,820207616,8346394624,3,3.2,2.8,854478848,8126898176
0.012,41914368,0.24,85712896,3.8,3.2,4.4,821497856,8346394624,2.3,2.4,2.2,854216704,8126898176
2.4,43130880,0.27,85712896,5.3,5.2,5.4,820453376,8346394624,3.3,3.4,3.2,853692416,8126898176
5,43765760,0.95,85938176,6.9,6,7.8,821153792,8346394624,8.2,8.2,8.2,854159360,8126898176
4.5,43646976,2.1,85774336,17,17,17,822706176,8346394624,24,23,24,857387008,8126898176
4.7,43663360,2,85901312,17,20,15,821141504,8346394624,16,15,17,856838144,8126898176
5.2,43679744,2,86024192,17,18,16,822734848,8346394624,21,21,21,857264128,8126898176
4.6,43732992,2,86040576,13,15,11,823341056,8346394624,21,21,21,856215552,8126898176
4.8,43806720,1.9,86069248,18,16,19,823656448,8346394624,21,21,20,855863296,8126898176
5.5,43814912,2.2,86007808,17,20,14,824438784,8346394624,19,19,19,855674880,8126898176
7.1,43925504,2,86032384,16,16,15,825868288,8346394624,23,22,23,855965696,8126898176
7.8,43925504,2,86151168,21,21,22,825618432,8346394624,21,21,22,856543232,8126898176
7.3,43925504,2.1,86040576,20,23,18,827105280,8346394624,19,19,19,857128960,8126898176
7.3,43925504,2.2,86261760,16,16,15,826990592,8346394624,24,24,24,856895488,8126898176
5.9,43995136,2.1,86163456,20,18,21,827363328,8346394624,21,21,20,857710592,8126898176
5.5,44122112,1.9,86409216,18,17,19,827932672,8346394624,19,20,19,857755648,8126898176
5.6,44482560,2.2,86306816,15,16,15,826195968,8346394624,24,24,23,857321472,8126898176
4.7,44490752,2.1,86474752,18,14,22,825794560,8346394624,21,21,22,858578944,8126898176
5.1,44408832,1.8,86478848,20,18,21,826802176,8346394624,18,18,18,857636864,8126898176
5.4,44601344,2.1,86650880,15,12,17,826793984,8346394624,23,24,23,861085696,8126898176
5.2,44707840,2.3,86548480,18,15,20,827437056,8346394624,22,22,21,859013120,8126898176
4.7,44769280,2,86614016,17,16,18,828203008,8346394624,17,17,17,858304512,8126898176
4.7,42401792,1.7,86634496,16,16,15,826273792,8346394624,23,24,23,858374144,8126898176
5.3,42287104,1.9,86544384,19,22,15,825016320,8346394624,20,20,20,858181632,8126898176
5.3,42287104,1.9,86695936,21,21,22,824377344,8346394624,17,17,17,858255360,8126898176
5.7,42287104,1.9,86638592,14,16,12,824029184,8346394624,25,26,25,858066944,8126898176
5.6,42291200,1.8,86650880,18,19,17,825585664,8346394624,21,21,21,858836992,8126898176
5.7,42291200,2.1,86626304,20,17,23,824778752,8346394624,17,17,18,858386432,8126898176
5.3,42291200,2.2,86777856,15,14,16,824078336,8346394624,23,23,24,858419200,8126898176
4.3,42291200,2,86757376,18,19,17,825532416,8346394624,20,20,20,859176960,8126898176
4.3,42336256,2.2,86790144,19,22,16,824807424,8346394624,16,16,15,858468352,8126898176
