"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-12 22:24:15,13,43954176,6.4,85090304,53,54,51,1024749568,8346394624
2022-01-12 22:24:20,13,43954176,6.0,85065728,41,43,39,1025581056,8346394624
2022-01-12 22:24:25,13,44175360,7.3,85037056,53,53,52,1025650688,8346394624
2022-01-12 22:24:30,14,45150208,7.8,85147648,56,59,54,1028005888,8346394624
2022-01-12 22:24:35,14,45637632,7.5,85229568,44,44,43,1028263936,8346394624
2022-01-12 22:24:40,13,46104576,7.0,85336064,49,51,47,1030336512,8346394624
2022-01-12 22:24:45,11,46546944,5.5,85385216,50,52,48,1030819840,8346394624
2022-01-12 22:24:50,10,46743552,6.0,85561344,39,40,37,1029599232,8346394624
2022-01-12 22:24:55,10,46956544,5.2,85590016,45,47,43,1030823936,8346394624
2022-01-12 22:25:00,10,47120384,5.4,85606400,50,53,48,1031901184,8346394624
2022-01-12 22:25:05,11,47382528,6.3,85782528,42,42,41,1031462912,8346394624
2022-01-12 22:25:10,10,47677440,5.5,85893120,49,51,47,1032781824,8346394624
2022-01-12 22:25:15,10,47812608,5.7,85946368,53,55,51,1032499200,8346394624
2022-01-12 22:25:20,12,48353280,6.8,86040576,41,42,40,1032769536,8346394624
2022-01-12 22:25:25,12,48517120,6.5,85966848,48,49,47,1033359360,8346394624
2022-01-12 22:25:30,11,48590848,5.1,86188032,50,51,49,1035067392,8346394624
2022-01-12 22:25:35,8.8,48779264,4.7,86224896,35,37,33,1035841536,8346394624
2022-01-12 22:25:40,3.5,48779264,2.5,86179840,21,22,21,1035472896,8346394624
2022-01-12 22:25:45,0.24,48779264,0.66,86093824,4.0,4.2,3.8,1034625024,8346394624
2022-01-12 22:25:50,0.015,48779264,0.55,86360064,4.7,5.2,4.2,1034391552,8346394624
2022-01-12 22:25:55,0.015,48779264,0.54,86216704,3.7,3.0,4.4,1035108352,8346394624
2022-01-12 22:26:00,0.013,48779264,0.37,86167552,3.8,3.4,4.2,1033854976,8346394624
2022-01-12 22:26:05,0.013,48779264,0.39,86081536,3.7,3.6,3.8,1033510912,8346394624
2022-01-12 22:26:10,0.013,48779264,0.36,86167552,6.1,5,7.2,1033752576,8346394624
2022-01-12 22:26:15,0.013,48779264,0.37,86081536,3.6,4.2,3.0,1033170944,8346394624
2022-01-12 22:26:20,1.2,48779264,0.75,86089728,7.6,8.0,7.2,1032093696,8346394624
2022-01-12 22:26:25,5.6,48369664,2.8,86269952,15,15,14,1032384512,8346394624
2022-01-12 22:26:30,11,44621824,5.8,86216704,58,58,57,1024708608,8346394624
2022-01-12 22:26:35,13,44621824,6.9,86286336,60,62,58,1024024576,8346394624
2022-01-12 22:26:40,13,44634112,6.8,86294528,50,52,48,1025224704,8346394624
2022-01-12 22:26:45,12,44642304,6.0,86208512,57,58,56,1026740224,8346394624
2022-01-12 22:26:50,11,44642304,6.5,86409216,60,62,57,1028493312,8346394624
2022-01-12 22:26:55,13,44662784,7.0,86466560,48,49,46,1029271552,8346394624
2022-01-12 22:27:00,11,44675072,6.1,86413312,54,55,54,1030524928,8346394624
2022-01-12 22:27:05,11,44683264,6.6,86347776,62,64,60,1033052160,8346394624
2022-01-12 22:27:10,13,45223936,6.2,86507520,53,53,52,1035448320,8346394624
2022-01-12 22:27:15,12,45228032,5.6,86560768,54,56,52,1037774848,8346394624
2022-01-12 22:27:20,13,45260800,6.5,86548480,60,63,58,1041313792,8346394624
2022-01-12 22:27:25,12,45264896,6.4,86470656,48,49,46,1042317312,8346394624
2022-01-12 22:27:30,11,45596672,6.5,86646784,55,57,54,1037058048,8346394624
2022-01-12 22:27:35,14,45768704,7.6,86847488,62,63,61,1039167488,8346394624
2022-01-12 22:27:40,14,45768704,7.1,86994944,56,57,54,1039200256,8346394624
2022-01-12 22:27:45,13,45780992,7.4,86831104,56,58,54,1043664896,8346394624
2022-01-12 22:27:50,13,45780992,8.1,87289856,61,63,59,1045504000,8346394624
2022-01-12 22:27:55,12,45789184,6.3,87461888,48,51,46,1042137088,8346394624
2022-01-12 22:28:00,10,45789184,5.0,87191552,50,51,49,1042771968,8346394624
2022-01-12 22:28:05,9.4,45793280,5.5,87244800,59,62,57,1043070976,8346394624
2022-01-12 22:28:10,10,45793280,5.6,87326720,51,52,49,1042731008,8346394624
2022-01-12 22:28:15,9.9,45793280,5.9,87519232,51,52,51,1042673664,8346394624
2022-01-12 22:28:20,9.3,45793280,5.6,87547904,57,59,55,1044541440,8346394624
2022-01-12 22:28:25,12,45830144,5.3,87474176,53,56,50,1044017152,8346394624
2022-01-12 22:28:30,12,45830144,7.0,87592960,54,56,52,1043984384,8346394624
2022-01-12 22:28:35,12,45977600,6.3,87638016,59,61,57,1044094976,8346394624
