Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
5,44068864,3.1,85504000,80,83,77,1134243840,8346394624
5.6,44068864,3,85532672,73,76,71,1148096512,8346394624
6.4,44220416,2.9,85553152,60,63,57,1151926272,8346394624
5.8,44220416,3.2,85442560,77,78,75,1166004224,8346394624
6.7,44253184,3.6,85475328,78,81,75,1183698944,8346394624
6.7,44253184,3.1,85491712,65,67,63,1192673280,8346394624
5.1,44253184,3.2,85520384,75,77,74,1119449088,8346394624
4.9,44253184,3.1,85688320,75,77,73,1119461376,8346394624
3.2,44253184,2,85696512,54,57,51,1104211968,8346394624
0.78,44253184,0.94,85790720,5.7,7,4.4,1101217792,8346394624
0.013,44253184,0.39,85696512,4.1,4.4,3.8,1100603392,8346394624
0.012,44253184,0.38,85696512,4.1,4.6,3.6,1100603392,8346394624
0.012,44253184,0.36,85696512,4,4,4,1100603392,8346394624
0.013,44253184,0.33,85696512,3.6,3.4,3.8,1100320768,8346394624
0.15,44253184,0.4,85696512,4.3,4,4.6,1100316672,8346394624
1.4,44253184,1.1,85712896,8.6,8,9.2,1108721664,8346394624
5.1,44752896,2.4,85741568,52,53,51,1095024640,8346394624
6.3,44752896,3.1,85704704,74,78,70,1097711616,8346394624
5,44752896,3.3,85729280,71,73,68,1107394560,8346394624
5.9,44752896,3.6,85700608,82,86,79,1128992768,8346394624
5.8,44756992,3.4,85721088,79,82,76,1153351680,8346394624
5.2,44756992,3,85807104,70,72,68,1164029952,8346394624
5.1,44756992,2.5,85823488,84,86,82,1178050560,8346394624
5.9,44761088,3.3,85938176,82,85,79,1205063680,8346394624
7,44761088,4,85966848,75,78,72,1119010816,8346394624
6.6,44765184,3.4,86122496,87,90,83,1128280064,8346394624
6.2,44765184,3.5,86016000,81,85,78,1143488512,8346394624
7.2,44765184,3.6,86040576,78,80,76,1155342336,8346394624
6.8,44765184,3.5,86061056,88,91,85,1177559040,8346394624
5,44765184,3,86016000,83,86,81,1129488384,8346394624
5.3,44765184,3,86036480,74,76,72,1123405824,8346394624
6.8,44822528,3.6,86409216,86,89,83,1139572736,8346394624
6.3,44822528,3.6,86433792,80,84,77,1150222336,8346394624
4.7,44822528,2.9,86474752,70,75,66,1149472768,8346394624
4.4,44826624,2.8,86364160,88,90,86,1176604672,8346394624
