NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
2000,0.05,154.3,2.4,7.47755,44711936,3.912727273,199824663.3,20.57727273,21.6,19.69090909,827680395.6,8126898176
1333,0.075,108.2,2.3,5.525,44711936,3.0815,199779942.4,16.22,16.75,15.95,827600896,8126898176
2000,0.05,154.3,2.3,7.507619048,44711936,3.957142857,199175606.9,20.86666667,21.57142857,20.16190476,827714023.6,8126898176
1333,0.075,108.2,2.3,5.4325,44711936,3.0305,199332044.8,16.315,15.99,16.39,827729100.8,8126898176
2000,0.05,154.3,2.4,7.576190476,44711936,4.080952381,199656204.2,20.81904762,21.5047619,20.32380952,827748937.1,8126898176
1333,0.075,108.2,2.3,5.480335,44711936,2.93,198987980.8,16.075,17.14,15.11,827738112,8126898176
2000,0.05,154.3,2.4,7.393027273,44711936,3.891818182,198867316.4,20.49090909,22.61818182,18.31818182,827650234.2,8126898176
1333,0.075,108.2,2.2,5.386,44711936,2.999,199798579.2,16.065,16.01,16.22,827614412.8,8126898176
2000,0.05,154.3,2.3,7.604761905,44711936,3.987619048,200191805,20.73333333,20.9047619,20.65714286,827947300.6,8126898176
1333,0.075,108.2,2.2,5.578947368,44711936,3.136842105,200291597.5,16.73684211,17.26315789,16.21052632,828511932.6,8126898176
2000,0.05,154.3,2.3,7.357145455,44711936,3.813636364,200329029.8,20.26363636,20.92727273,19.50909091,827823569.5,8126898176
1333,0.075,108.2,2.2,4.996640909,44711936,2.727272727,200064651.6,15.15,15.5,14.70909091,827817611.6,8126898176
2000,0.05,154.3,2.3,7.580952381,44711936,4.085714286,200185563.4,21.16666667,21.2952381,21.18095238,827900684.2,8126898176
1333,0.075,108.2,2.2,5.267,44711936,2.9995,200056217.6,15.87,16.91,15.02,827846246.4,8126898176
2000,0.05,154.3,2.4,8.141904762,44711936,4.041428571,200102278.1,21.45714286,21.16190476,21.88571429,827792822.9,8126898176
1333,0.075,108.2,2.2,5.4245,44711936,2.97,200872140.8,15.965,16,15.93,828077056,8126898176
2000,0.05,154.3,2.3,7.704761905,44711936,3.976190476,202340254.5,21.4047619,21.74285714,20.73333333,828458130.3,8126898176
1333,0.075,108.2,2.2,4.935745455,44711936,2.788181818,203335680,15.08181818,15.69090909,14.32727273,827812212.4,8126898176
2000,0.05,154.3,2.3,7.533333333,44711936,4.057619048,204425118.5,21,20.95238095,20.99047619,827702710.9,8126898176
1333,0.075,108.2,2.2,5.475,44711936,3.041,205507379.2,16.005,15.79,16.42,827629772.8,8126898176
2000,0.05,154.3,2.4,7.553333333,44711936,4.033333333,205760219.4,21.02857143,22.4952381,19.46666667,827774488.4,8126898176
1333,0.075,108.2,2.3,5.5245,44711936,3.01,205761536,16.285,16.89,15.66,827720089.6,8126898176
2000,0.05,154.3,2.4,7.676190476,44711936,3.981904762,205939078.1,21.03809524,21.04761905,20.82857143,827906925.7,8126898176
1333,0.075,108.2,2.3,5.54,44711936,3.02,206023475.2,16.59,17.7,15.52,827787878.4,8126898176
2000,0.05,154.3,2.4,7.439090909,44711936,4.013181818,206007947.6,20.75909091,21.22727273,19.97272727,828045684.4,8126898176
1333,0.075,108.2,2.4,5.6595,44711936,3.216,206097203.2,16.705,17.8,15.56,827952742.4,8126898176
2000,0.05,154.3,2.5,7.928571429,44711936,4.166666667,205826730.7,21.63809524,21.84761905,21.52380952,828119917.7,8126898176
1333,0.075,108.2,2.3,5.376514286,44711936,2.938095238,205998762.7,15.81428571,15.85714286,15.86666667,827960758.9,8126898176
2000,0.05,154.3,2.3,7.517619048,44711936,3.894285714,205823805,20.96666667,22.4,19.2952381,828011276.2,8126898176
1333,0.075,108.2,2.2,5.063809524,44711936,2.918571429,205816978.3,15.54761905,15.77142857,15.51428571,828539270.1,8126898176
2000,0.05,154.3,2.3,7.523809524,44711936,4.052380952,206181132.2,21.03333333,20.78095238,21,828613778.3,8126898176
1333,0.075,108.2,2.3,5.6,44711936,3.173684211,206716928,17,17.26315789,16.62105263,828191151.2,8126898176
2000,0.05,154.3,2.4,8.162857143,44711936,4.01952381,206685135.2,21.48571429,21.75238095,21.11428571,828146249.1,8126898176
1333,0.075,108.2,2.3,5.309838095,44711936,2.922857143,206965613.7,15.77142857,16.62857143,15.05714286,827966805.3,8126898176
2000,0.05,154.3,2.3,7.268440909,44711936,3.9,206992849.5,20.38636364,20.68181818,20.08181818,827979589.8,8126898176
1333,0.075,108.2,2.2,5.317,44711936,2.9625,207059353.6,16.07,16.08,16.24,827965849.6,8126898176
2000,0.05,154.3,2.3,7.380952381,44711936,4.073809524,207775061.3,20.68571429,21.56190476,19.93333333,828003864.4,8126898176
1333,0.075,108.2,2.2,5.37,44711936,3.057,208567091.2,16.12,16.96,15.08,828048998.4,8126898176
2000,0.05,154.3,2.5,8.238095238,44711936,4.128571429,209469440,21.66666667,21.81904762,21.60952381,827992356.6,8126898176
1333,0.075,108.2,2.3,5.3584,44711936,2.817142857,209918244.6,15.61904762,15.95238095,15.23809524,828028050.3,8126898176
2000,0.05,154.3,2.3,7.223031818,44711936,3.873181818,210185867.6,20.19545455,20.36363636,19.87272727,827879051.6,8126898176
1333,0.075,108.2,2.3,5.535,44711936,3.0995,210161459.2,16.365,17.07,15.66,827934720,8126898176
2000,0.05,154.3,2.4,7.7,44711936,3.992272727,210908997.8,20.88636364,20.8,20.88181818,827907723.6,8126898176
1333,0.075,108.2,2.4,5.9965,44711936,3.1735,211691929.6,17.13,17.24,16.63,827828019.2,8126898176
2000,0.05,154.3,2.4,7.771428571,44711936,4.09047619,212193865.1,21.34761905,21.95238095,20.4,827955882.7,8126898176
1333,0.075,108.2,2.3,5.224138095,44711936,2.914285714,212511207.6,15.68095238,16.16190476,15.34285714,828194816,8126898176
2000,0.05,154.3,2.4,7.752127273,44711936,3.878181818,212959976.7,20.97272727,21.4,20.63636364,828050525.1,8126898176
1333,0.075,108.2,2.3,5.5225,44711936,3.0615,213299609.6,16.275,16.21,16.34,827922432,8126898176
2000,0.05,154.3,2.4,7.719047619,44711936,4.076190476,213426761.1,21.16190476,21.32380952,20.85714286,827943984.8,8126898176
1333,0.075,108.2,2.2,5.510526316,44711936,3.126315789,213576434.5,16.57894737,17.05263158,16.10526316,828041539.4,8126898176
2000,0.05,154.3,2.4,7.194877273,44711936,3.877272727,212992558.5,20.16818182,21.36363636,19.01818182,828140264.7,8126898176
1333,0.075,108.2,2.3,5.2284,44711936,2.91952381,213639948.2,15.68571429,15.84761905,15.73333333,828025709.7,8126898176
2000,0.05,154.3,2.4,7.390090909,44711936,4.054545455,214596142.5,20.74545455,21.39090909,20.14545455,828079010.9,8126898176
1333,0.075,108.2,2.3,5.3535,44711936,3.08,215005388.8,16.305,16.48,16.23,827925708.8,8126898176
2000,0.05,154.3,2.5,8.061904762,44711936,4.162857143,215291611.4,21.90952381,21.82857143,21.94285714,827973241.9,8126898176
1333,0.075,108.2,2.3,5.534,44711936,3.125,215905894.4,16.47,17.32,15.63,828015411.2,8126898176
2000,0.05,154.3,2.5,7.782127273,44711936,3.933636364,216117992.7,20.95,22.6,19.75454545,828121088,8126898176
1333,0.075,108.2,2.3,6.089473684,44711936,3.147368421,216160579.4,17.31578947,17.21052632,17.42105263,828059216.8,8126898176
2000,0.05,154.3,2.4,7.391818182,44711936,4.027272727,216077963.6,20.83181818,21.49090909,19.83636364,828064302.5,8126898176
1333,0.075,108.2,2.3,5.615,44711936,3.187,215756595.2,16.625,16.93,16.27,828091187.2,8126898176
2000,0.05,154.3,2.4,7.80952381,44711936,4.133333333,216926695.6,21.33809524,20.99047619,21.54285714,828141568,8126898176
1333,0.075,108.2,2.3,5.536,44711936,3.155,217869721.6,16.48,16.76,16.12,828061081.6,8126898176
2000,0.05,154.3,2.4,7.291218182,44711936,4.010909091,218670545.5,20.56818182,21.81818182,19.17272727,828271895.3,8126898176
1333,0.075,108.2,2.3,5.206190476,44711936,2.996190476,220748848.8,15.85714286,16,15.56190476,828048530.3,8126898176
2000,0.05,154.3,2.4,7.66,44711936,4.173333333,221910357.3,21.28571429,21.81904762,20.8,828038777.9,8126898176
1333,0.075,108.2,2.3,5.555,44711936,3.152,222602649.6,16.475,16.7,16.1,828161228.8,8126898176
2000,0.05,154.3,2.3,7.452380952,44711936,4.08952381,223037147.4,20.95238095,21.07619048,21.11428571,828197156.6,8126898176
1333,0.075,108.2,2.2,5.136809524,44711936,2.952380952,223344347.4,15.5047619,16.17142857,14.88571429,828084224,8126898176
2000,0.05,154.3,2.4,7.69855,44711936,3.866363636,223424325.8,20.68636364,21,20.46363636,828066536.7,8126898176
