Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
6.2,44711936,44711936,3.2,84033536,84033536,17,17,17,828186624,828186624,828186624,8126898176,8126898176,8126898176
4.8,44711936,44711936,2.8,84262912,84262912,12,12,11,828960768,828960768,828960768,8126898176,8126898176,8126898176
2.1,44711936,44711936,1.1,84639744,84639744,3.8,4.2,3.4,828440576,828440576,828440576,8126898176,8126898176,8126898176
0.083,44711936,44711936,0.3,84463616,84463616,3.5,3.6,3.4,828182528,828182528,828182528,8126898176,8126898176,8126898176
0.0078,44711936,44711936,0.21,84385792,84385792,2.7,2.6,2.8,828182528,828182528,828182528,8126898176,8126898176,8126898176
0.0069,44711936,44711936,0.21,84480000,84480000,3.6,3.4,3.8,828182528,828182528,828182528,8126898176,8126898176,8126898176
0.0073,44711936,44711936,0.21,84385792,84385792,3.2,3.2,3.2,828182528,828182528,828182528,8126898176,8126898176,8126898176
0.0071,44711936,44711936,0.22,84480000,84480000,3.8,4,3.6,828956672,828956672,828956672,8126898176,8126898176,8126898176
2.3,44711936,44711936,0.8,84410368,84410368,11,9.8,11,828440576,828440576,828440576,8126898176,8126898176,8126898176
6.4,44711936,44711936,2.5,84373504,84373504,23,24,23,828178432,828178432,828178432,8126898176,8126898176,8126898176
9.1,44711936,44711936,3.6,84467712,84467712,24,26,22,828178432,828178432,828178432,8126898176,8126898176,8126898176
11,44711936,44711936,4.1,84746240,84746240,27,29,25,827920384,827920384,827920384,8126898176,8126898176,8126898176
9.7,44711936,44711936,4.8,84611072,84611072,23,25,21,828178432,828178432,828178432,8126898176,8126898176,8126898176
9.5,44711936,44711936,4.2,84877312,84877312,22,24,21,828178432,828178432,828178432,8126898176,8126898176,8126898176
9.8,44711936,44711936,4,85106688,85106688,22,24,20,828162048,828162048,828162048,8126898176,8126898176,8126898176
8.4,44711936,44711936,4.5,85159936,85159936,22,25,20,828162048,828162048,828162048,8126898176,8126898176,8126898176
8.4,44711936,44711936,4,85286912,85286912,22,22,21,828162048,828162048,828162048,8126898176,8126898176,8126898176
7.5,44711936,44711936,4.2,85458944,85458944,23,24,22,828162048,828162048,828162048,8126898176,8126898176,8126898176
9.3,44711936,44711936,4,85667840,85667840,25,25,26,827904000,827904000,827904000,8126898176,8126898176,8126898176
11,44711936,44711936,5.4,85684224,85684224,27,31,23,828162048,828162048,828162048,8126898176,8126898176,8126898176
9.8,44711936,44711936,5.3,85823488,85823488,25,28,22,827904000,827904000,827904000,8126898176,8126898176,8126898176
8.7,44711936,44711936,3.6,86163456,86163456,20,22,17,828157952,828157952,828157952,8126898176,8126898176,8126898176
6.5,44711936,44711936,3.8,86130688,86130688,19,19,18,828416000,828416000,828416000,8126898176,8126898176,8126898176
7.1,44711936,44711936,3.6,86433792,86433792,20,21,20,828416000,828416000,828416000,8126898176,8126898176,8126898176
7.5,44711936,44711936,3.6,86413312,86413312,20,19,21,828157952,828157952,828157952,8126898176,8126898176,8126898176
7.2,44711936,44711936,4.2,86695936,86695936,23,21,24,828932096,828932096,828932096,8126898176,8126898176,8126898176
9,44711936,44711936,4.3,87072768,87072768,21,22,20,828694528,828694528,828694528,8126898176,8126898176,8126898176
7.6,44711936,44711936,3.5,86937600,86937600,19,20,17,828403712,828403712,828403712,8126898176,8126898176,8126898176
3.9,44711936,44711936,2.4,86962176,86962176,8.3,8,8.6,828145664,828145664,828145664,8126898176,8126898176,8126898176
1.2,44711936,44711936,0.93,87224320,87224320,3.5,3.2,3.8,828403712,828403712,828403712,8126898176,8126898176,8126898176
0.0073,44711936,44711936,0.2,87158784,87158784,3,3.4,2.6,828145664,828145664,828145664,8126898176,8126898176,8126898176
0.0066,44711936,44711936,0.2,87273472,87273472,3.9,4,3.8,828145664,828145664,828145664,8126898176,8126898176,8126898176
0.0076,44711936,44711936,0.22,87166976,87166976,2.9,2.4,3.4,828403712,828403712,828403712,8126898176,8126898176,8126898176
0.0081,44711936,44711936,0.22,87281664,87281664,3.5,4,3,827887616,827887616,827887616,8126898176,8126898176,8126898176
0.084,44711936,44711936,0.21,87298048,87298048,3.3,3.2,3.4,828145664,828145664,828145664,8126898176,8126898176,8126898176
1.6,44711936,44711936,0.84,87351296,87351296,11,9.6,13,827887616,827887616,827887616,8126898176,8126898176,8126898176
4.3,44711936,44711936,2.5,87269376,87269376,16,17,14,828145664,828145664,828145664,8126898176,8126898176,8126898176
5.5,44711936,44711936,3.1,87494656,87494656,17,18,17,828141568,828141568,828141568,8126898176,8126898176,8126898176
6.3,44711936,44711936,3,87601152,87601152,16,17,16,828399616,828399616,828399616,8126898176,8126898176,8126898176
7.1,44711936,44711936,3.3,87609344,87609344,18,18,19,828121088,828121088,828121088,8126898176,8126898176,8126898176
5.9,44711936,44711936,3,87670784,87670784,16,17,14,828121088,828121088,828121088,8126898176,8126898176,8126898176
4.7,44711936,44711936,2.8,87887872,87887872,16,19,14,828121088,828121088,828121088,8126898176,8126898176,8126898176
5.3,44711936,44711936,2.7,88064000,88064000,16,17,15,828121088,828121088,828121088,8126898176,8126898176,8126898176
6.3,44711936,44711936,3.2,88084480,88084480,18,19,16,829153280,829153280,829153280,8126898176,8126898176,8126898176
6.6,44711936,44711936,3.5,88178688,88178688,17,19,16,828121088,828121088,828121088,8126898176,8126898176,8126898176
6.1,44711936,44711936,3.4,88576000,88576000,18,18,18,828121088,828121088,828121088,8126898176,8126898176,8126898176
6.1,44711936,44711936,3.2,88518656,88518656,16,16,16,828121088,828121088,828121088,8126898176,8126898176,8126898176
5.9,44711936,44711936,2.9,88743936,88743936,17,20,15,828379136,828379136,828379136,8126898176,8126898176,8126898176
4.8,44711936,44711936,3.1,88547328,88547328,16,18,14,828895232,828895232,828895232,8126898176,8126898176,8126898176
5.2,44711936,44711936,3,88756224,88756224,17,19,14,828104704,828104704,828104704,8126898176,8126898176,8126898176
6.9,44711936,44711936,3.6,89116672,89116672,19,20,18,827838464,827838464,827838464,8126898176,8126898176,8126898176
7,44711936,44711936,3.8,89137152,89137152,19,19,19,827838464,827838464,827838464,8126898176,8126898176,8126898176
