NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
1000,0.1,77.9,2.3,4.285,44323020.8,2.47,162170675.2,13.59,14.44,12.62,827959296,8126898176
500,0.2,39.5,2.6,2.784619048,44449792,1.447619048,162445994.7,9.39047619,9.8,8.952380952,828037412.6,8126898176
1000,0.1,77.9,2.4,4.436659091,42989009.45,2.259545455,162891031.3,13.30454545,13.85454545,12.67272727,828156648.7,8126898176
500,0.2,39.5,2.5,2.375,47435366.4,1.5725,163352576,9.085,9.71,8.36,828173721.6,8126898176
1000,0.1,77.9,2.3,4.144761905,44944432.76,2.377142857,164117942.9,12.90952381,13.23809524,12.67619048,828135521.5,8126898176
500,0.2,39.5,2.5,2.625,47932211.2,1.625,166924902.4,9.475,9.28,9.59,828068659.2,8126898176
1000,0.1,77.9,2.4,4.404761905,44979736.38,2.338095238,167914154.7,13.27142857,13.75238095,12.77142857,827969926.1,8126898176
500,0.2,39.5,2.5,2.234904762,48074166.86,1.469047619,168664697.9,8.819047619,9,8.571428571,828127719.6,8126898176
1000,0.1,77.9,2.5,5.16,44115763.2,2.46,168829952,14.5,14.85,13.92,828233932.8,8126898176
500,0.2,39.5,2.4,2.405263158,48372466.53,1.534210526,168887996.6,9.084210526,9.231578947,8.863157895,828083792.8,8126898176
1000,0.1,77.9,2.4,4.48,45691904,2.43,169243238.4,13.77,14.19,13.3,828055142.4,8126898176
500,0.2,39.5,2.3,2.2935,47307776,1.4495,169405030.4,8.905,8.97,8.71,828045926.4,8126898176
1000,0.1,77.9,2.4,4.344285714,46042160.76,2.331428571,169512179.8,13.28095238,14.32380952,12.2,828196961.5,8126898176
500,0.2,39.5,2.5,2.3425,48042803.2,1.471,169778790.4,8.955,9.22,8.59,828232499.2,8126898176
1000,0.1,77.9,2.3,4.238571429,45673910.86,2.366666667,169826596.6,13.15238095,13.36190476,13.03809524,828133961.1,8126898176
500,0.2,39.5,2.4,2.59,48377036.8,1.4755,169977446.4,9.11,9.67,8.52,828047974.4,8126898176
1000,0.1,77.9,2.4,4.319047619,45770654.48,2.352380952,170121703.6,13.24285714,13.67619048,12.71428571,828119137.5,8126898176
500,0.2,39.5,2.5,2.219357143,48051151.24,1.389047619,170260577.5,8.60952381,8.571428571,8.685714286,827910241.5,8126898176
1000,0.1,77.9,2.6,4.49077619,45873054.48,2.559047619,170395550.5,14.1047619,13.66666667,14.52380952,827995867.4,8126898176
500,0.2,39.5,2.5,2.536842105,48199572.21,1.541578947,170203028.2,9.252631579,9.610526316,8.989473684,827945606.7,8126898176
1000,0.1,77.9,2.3,4.275,45976166.4,2.365,170724966.4,13.21,13.91,12.26,827987353.6,8126898176
500,0.2,39.5,2.3,2.239,48013312,1.44,170915020.8,8.8,9.4,8.22,827712102.4,8126898176
