CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
57,71,1000,0.1,77.9,2.3,8.523809524,3.507142857,35.66666667,38.28571429,33.4952381,38.52380952,24.35238095,52.67619048,163810937.9,45143381.33,772683678.5,8346394624,772683678.5,8126898176
61,76,1000,0.1,77.9,2.2,8.004761905,3.538571429,37.42857143,39.93809524,34.80952381,40.85238095,33.43809524,48.22857143,163951567.2,43633517.71,771372958.5,8346394624,771372958.5,8126898176
0,0,500,0.2,39.5,2.1,4.678947368,2.106842105,6.263157895,6.305263158,6.221052632,3.826315789,3.663157895,3.989473684,163964389.1,45247218.53,770107068.6,8346394624,770107068.6,8126898176
5,6,500,0.2,39.5,2.2,4.94,2.083,8.95,9.62,8.39,6.8,7.05,6.57,163997696,46635417.6,774410240,8346394624,774410240,8126898176
9,11,500,0.2,39.5,2.2,4.615,2.103,10.8,10.56,11.07,9.425,8.7,10.18,163861913.6,46506393.6,774679347.2,8346394624,774679347.2,8126898176
13,16,500,0.2,39.5,2.2,4.752380952,2.143333333,12.57619048,12.34285714,12.6,11.47619048,6.428571429,16.56190476,163155187.8,46085266.29,773176368.8,8346394624,773176368.8,8126898176
17,21,500,0.2,39.5,2.2,4.628571429,2.098095238,14.25714286,12.5047619,15.8952381,13.94285714,12.35238095,15.55238095,163089456.8,46166991.24,773545203.8,8346394624,773545203.8,8126898176
21,26,500,0.2,39.5,2.3,4.895,2.2265,16.95,18.16,15.58,16.75,11.48,22.14,161765990.4,46076928,773932032,8346394624,773932032,8126898176
25,31,500,0.2,39.5,2.3,4.665238095,2.123809524,17.99047619,18.71428571,17.34285714,18.60952381,11.05714286,26.07619048,161842322.3,45824487.62,773705728,8346394624,773705728,8126898176
29,36,500,0.2,39.5,2.3,4.838095238,2.074761905,19.9047619,17.36190476,22.79047619,20.88095238,16.56666667,25.19047619,161951744,46268806.1,773886537.1,8346394624,773886537.1,8126898176
33,41,500,0.2,39.5,2.3,4.880952381,2.110952381,22.15238095,19.80952381,24.11428571,23.28571429,19.15714286,27.44761905,161482654.5,46834444.19,774894543.2,8346394624,774894543.2,8126898176
37,46,500,0.2,39.5,2.3,4.818571429,2.171904762,23.77619048,24.91428571,22.54285714,25.5,19.17142857,31.91428571,161447936,46027727.24,773538377.1,8346394624,773538377.1,8126898176
