CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
29,36,4000,0.025,301.3,2.3,26.61904762,10.97619048,35.66666667,32.9047619,38,26.66666667,24.03809524,29.34285714,270781098.7,68628480,802291907,8346394624,802291907,8126898176
33,41,4000,0.025,301.3,2.4,25.46363636,10.40454545,35.62272727,35.16363636,36.26363636,27.70909091,27.03636364,28.38181818,274628421.8,69108829.09,802842251.6,8346394624,802842251.6,8126898176
37,46,4000,0.025,301.3,2.4,26.22272727,10.12318182,37.83636364,35.69090909,40.05454545,30.07272727,24.85,35.20454545,276167214.5,68985204.36,803486440.7,8346394624,803486440.7,8126898176
41,51,4000,0.025,301.3,2.4,26.05454545,10.36681818,39.32727273,35.93636364,42.9,32.28636364,39.31818182,25.44545455,276047872,68770350.55,803528145.5,8346394624,803528145.5,8126898176
45,56,4000,0.025,301.3,2.5,27.23809524,10.6952381,43.0952381,42.28571429,43.76190476,35.82857143,33.46666667,38.33333333,276425776.8,68373942.86,803001685.3,8346394624,803001685.3,8126898176
49,61,4000,0.025,301.3,2.5,26.00454545,10.42727273,42.8,40.42727273,45.21818182,36.57727273,40,33.43636364,276460264.7,67075537.45,801835380.4,8346394624,801835380.4,8126898176
53,66,4000,0.025,301.3,2.5,26.20909091,10.285,44.64090909,44.02727273,45.36363636,39.17272727,40.16363636,37.95454545,276676608,67206423.27,802149096.7,8346394624,802149096.7,8126898176
57,71,4000,0.025,301.3,2.6,26.25909091,10.585,46.41363636,46.10909091,46.43636364,41.51818182,31.14545455,51.74545455,278939089.5,67167325.09,801441978.2,8346394624,801441978.2,8126898176
61,76,4000,0.025,301.3,2.5,27.61904762,10.8,50.23809524,51.42857143,49.04761905,45.03809524,50.24761905,39.87619048,282921057.5,67873060.57,802689024,8346394624,802689024,8126898176
0,0,5333,0.01875,400,2.3,35.97727273,13.19181818,28.47272727,27.81818182,29.15454545,10.93181818,11.20909091,10.41818182,285991470.5,70187380.36,799617024,8346394624,799617024,8126898176
5,6,5333,0.01875,400,2.3,34.02272727,13.73909091,29.67272727,29,30.28181818,14.12272727,14.54545455,13.41818182,288142242.9,71718353.45,806068782.5,8346394624,806068782.5,8126898176
