CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
33,41,2000,0.05,154.3,2.1,13.79047619,5.825714286,28.33333333,29.94285714,26.79047619,25.9047619,19.40952381,32.59047619,177561014.9,48082553.9,779322124.2,8346394624,779322124.2,8126898176
37,46,2000,0.05,154.3,2.1,14.28095238,5.971428571,30.47619048,32.95238095,27.95238095,28.19047619,21.48571429,35,178121386.7,49111040,780148345.9,8346394624,780148345.9,8126898176
41,51,2000,0.05,154.3,2.1,13.77142857,6.076190476,32.18095238,30.6,33.57142857,30.42857143,30.77142857,29.6952381,178743978.7,48950320.76,779914093.7,8346394624,779914093.7,8126898176
45,56,2000,0.05,154.3,2.1,13.78571429,6.005238095,33.91428571,38.14285714,29.5047619,33.23809524,19.88571429,46.47619048,178344131,49264152.38,780116943.2,8346394624,780116943.2,8126898176
49,61,2000,0.05,154.3,2.2,14.0952381,5.929047619,35.9047619,35.52380952,36.0952381,35.46190476,35.57142857,35.05714286,177438525,47564897.52,778644918.9,8346394624,778644918.9,8126898176
53,66,2000,0.05,154.3,2.2,14.21904762,6.133333333,38,37.40952381,38.18095238,37.71428571,28.26666667,47.11428571,177772836.6,48797988.57,779671844.6,8346394624,779671844.6,8126898176
57,71,2000,0.05,154.3,2.2,14.1047619,6.171428571,39.56190476,41.20952381,37.96190476,39.73809524,24.4952381,54.83809524,178522794.7,48043349.33,778886582.9,8346394624,778886582.9,8126898176
61,76,2000,0.05,154.3,2.2,14.32857143,6.044285714,41.47619048,40.52380952,42.64761905,42.66666667,41.33333333,43.76190476,178518503.6,48819443.81,780277857.5,8346394624,780277857.5,8126898176
0,0,1333,0.075,108.2,2,11.065,4.4305,10.635,10.94,10.7,5.465,5.16,5.77,179808051.2,46505984,773986918.4,8346394624,773986918.4,8126898176
5,6,1333,0.075,108.2,1.9,9.865,4.446,12.67,11.82,13.53,8.47,7.76,9.18,180571136,47434137.6,778282188.8,8346394624,778282188.8,8126898176
9,11,1333,0.075,108.2,2,10.53333333,4.286190476,14.70952381,16.26666667,12.99047619,10.63809524,9.352380952,11.81904762,181336941.7,47196257.52,778009453.7,8346394624,778009453.7,8126898176
13,16,1333,0.075,108.2,2,9.327619048,4.38,15.88571429,17.6,14.24761905,13.1952381,9.476190476,16.67619048,185768813.7,47406908.95,778144426.7,8346394624,778144426.7,8126898176
17,21,1333,0.075,108.2,2,9.573809524,4.347619048,17.9047619,17.97142857,17.61904762,15.43809524,13.81904762,16.88571429,187497325.7,46989702.1,777434063.2,8346394624,777434063.2,8126898176
21,26,1333,0.075,108.2,2,9.965,4.48,20.5,19.2,21.67,18.5,16.38,20.29,188188876.8,47152742.4,777878323.2,8346394624,777878323.2,8126898176
25,31,1333,0.075,108.2,2.1,10.10952381,4.341428571,21.93333333,21.11428571,22.7047619,20.0047619,17.97142857,22.06666667,188812726.9,46786852.57,778122191.2,8346394624,778122191.2,8126898176
29,36,1333,0.075,108.2,2,9.653809524,4.333333333,23.42857143,25.14285714,21.84761905,22.19047619,22.6,21.98095238,188994316.2,46718195.81,778001846.9,8346394624,778001846.9,8126898176
33,41,1333,0.075,108.2,2.1,9.54047619,4.237619048,25.38571429,24.0952381,26.48571429,24.53809524,20.4,28.60952381,189259776,47045095.62,778172513.5,8346394624,778172513.5,8126898176
37,46,1333,0.075,108.2,2.1,9.728571429,4.292380952,27.24761905,28.2952381,26.05714286,27.0952381,22.6,31.79047619,189202627,48294180.57,778696606.5,8346394624,778696606.5,8126898176
41,51,1333,0.075,108.2,2.1,9.63952381,4.35,29.23809524,32.04761905,26.36190476,29.52380952,41.0952381,17.91428571,189327847.6,48216161.52,779235718.1,8346394624,779235718.1,8126898176
45,56,1333,0.075,108.2,2.2,10.92380952,4.453809524,31.71428571,33.03809524,30.1047619,31.97142857,31.07619048,32.8952381,189431613,47680950.86,778684123.4,8346394624,778684123.4,8126898176
49,61,1333,0.075,108.2,2.1,10.10295238,4.523809524,33.00952381,31.60952381,34.6,34.13809524,26.33333333,41.86666667,189891925.3,48137947.43,778880536.4,8346394624,778880536.4,8126898176
53,66,1333,0.075,108.2,2.3,10.36190476,4.443809524,35.16190476,34.66666667,35.65714286,36.85714286,20.8,52.9047619,190412117.3,46833273.9,778524379.4,8346394624,778524379.4,8126898176
57,71,1333,0.075,108.2,2.2,10.37333333,4.463333333,37.14285714,37.43809524,36.61904762,39.14285714,28.45714286,50,190901101.7,46750963.81,778610005.3,8346394624,778610005.3,8126898176
